Foreignlang,Nativelang,Foreignword,Keyword,Nativeword,note
German,English,Sperre,sherry,barrier,Imagine a sparrow on a station barrier 
German,English,Hose,hora,trousers,Imagine trousers wrapped round a garden hose 
German,English,Nehmen,Newman,to take,Imagine you take a name in your address book 
German,English,Haben,heaven,to have,Imagine harbours have many ships 
German,English,Ecke,echo,corner,Imagine an echo in a corner 
German,English,Dohle,dole,jackdaw,Imagine a jackdaw with a dollar in its beak 
German,English,Kaufen,colon,to buy,Imagine you buy a coffin 
German,English,Fliegen,flagon,to fly,Imagine fleas fly quickly 
German,English,Leiter,lighter,ladder,Imagine a lighter at the foot of a ladder 
German,English,Friseur,frizzy,hairdresser,Imagine your hairdresser inside a freezer 
German,English,Stellen,stellar,to put,Imagine you put steel girders in your house
German,English,Brauchen,broken,to need,Imagine brokers need much experience
German,English,Teller,telly,plate,Imagine a fortune-teller with a pile of silver plates
German,English,Küche,kappa,kitchen,Imagine your kitchen and a cook in it
German,English,Mieten,meter,to rent,Imagine you rent meat to friends in your room
German,English,Zahlen,fallen,to pay,Imagine sailors pay for hot rum 
German,English,Klippe,clipper,cliff,Imagine nail-clippers on a cliff
German,English,Fahne,fauna,flag,Imagine a flag on a fan
German,English,Rufen,Reuben,to call,Imagine you call a friend to put a new roof on a cottage
German,English,Graben,grabber,to dig,Imagine crabs dig holes in the sand
German,English,Schere,sherry,scissors,Imagine shears besides a pair of scissors
German,English,Rasen,risen,lawn,Imagine your lawn covered in raisins
German,English,Stoßen,stolen,to push,Imagine you push stores in a cupboard
German,English,Streichen,stricken,to paint,Imagine strikers paint slogans on walls
German,English,Schalter,shelter,counter,Imagine a sea-side shelter with a candy-floss 
German,English,Flasche,flashy,bottle,Imagine a bottle in a flash of lightning 
German,English,Streiten,triton,to quarrel,Imagine you quarrel about the Menai straits 
German,English,Laufen,loafer,to run,Imagine bread loaves run down the street 
German,English,Brücke,bracken,bridge,Imagine a small brook under a hump-backed 
German,English,Messer,messy,knife,Imagine a knife in a mess of gravy 
German,English,Treten,treason,to step,Imagine you step on a stair tread 
German,English,Tragen,taken,to carry,Imagine dragons carry fire hoses 
German,English,Nagel,novel,nail,Imagine your knuckle with a nail through it 
German,English,Birne,bin,pear,Imagine a pear on a gas burner
German,English,Sagen,wagon,to tell,Imagine you tell someone sago is good for them 
German,English,Reißen,ripen,to tear,Imagine rice tears a hole in a paper bag
