Foreignlang,Nativelang,Foreignword,Keyword,Nativeword,note
German,English,Sperre,sparrow,barrier,Imagine a sparrow on a station barrier 
German,English,Hose,hose,trousers,Imagine trousers wrapped round a garden hose 
German,English,Nehmen,name,to take,Imagine you take a name in your address book 
German,English,Haben,harbours,to have,Imagine harbours have many ships 
German,English,Ecke,echo,corner,Imagine an echo in a corner 
German,English,Dohle,dollar,jackdaw,Imagine a jackdaw with a dollar in its beak 
German,English,Kaufen,coffin,to buy,Imagine you buy a coffin 
German,English,Fliegen,fleas,to fly,Imagine fleas fly quickly 
German,English,Leiter,lighter,ladder,Imagine a lighter at the foot of a ladder 
German,English,Friseur,freezer,hairdresser,Imagine your hairdresser inside a freezer 
German,English,Stellen,steel,to put,Imagine you put steel girders in your house
German,English,Brauchen,brokers,to need,Imagine brokers need much experience
German,English,Teller,teller,plate,Imagine a fortune-teller with a pile of silver plates
German,English,Küche,cook,kitchen,Imagine your kitchen and a cook in it
German,English,Mieten,meat,to rent,Imagine you rent meat to friends in your room
German,English,Zahlen,sailors,to pay,Imagine sailors pay for hot rum 
German,English,Klippe,clippers,cliff,Imagine nail-clippers on a cliff
German,English,Fahne,fan,flag,Imagine a flag on a fan
German,English,Rufen,roof,to call,Imagine you call a friend to put a new roof on a cottage
German,English,Graben,crabs,to dig,Imagine crabs dig holes in the sand
German,English,Schere,shears,scissors,Imagine shears besides a pair of scissors
German,English,Rasen,raisins,lawn,Imagine your lawn covered in raisins
German,English,Stoßen,stores,to push,Imagine you push stores in a cupboard
German,English,Streichen,strikers,to paint,Imagine strikers paint slogans on walls
German,English,Schalter,shelter,counter,Imagine a sea-side shelter with a candy-floss 
German,English,Flasche,flash,bottle,Imagine a bottle in a flash of lightning 
German,English,Streiten,straits,to quarrel,Imagine you quarrel about the Menai straits 
German,English,Laufen,loaves,to run,Imagine bread loaves run down the street 
German,English,Brücke,brook,bridge,Imagine a small brook under a hump-backed 
German,English,Messer,mess,knife,Imagine a knife in a mess of gravy 
German,English,Treten,tread,to step,Imagine you step on a stair tread 
German,English,Tragen,dragons,to carry,Imagine dragons carry fire hoses 
German,English,Nagel,knuckle,nail,Imagine your knuckle with a nail through it 
German,English,Birne,burner,pear,Imagine a pear on a gas burner
German,English,Sagen,sago,to tell,Imagine you tell someone sago is good for them 
German,English,Reißen,rice,to tear,Imagine rice tears a hole in a paper bag
